"""Male Life Expectancy, x; Female Life Expectancy, x""","""Male Life Expectancy, y""","""Female Life Expectancy, y"""
REF_YEAR,BIRTH_LIFE_EXP_M,BIRTH_LIFE_EXP_F
1961,66.7,73.3
1962,66.8,73
1963,66.8,73.1
1964,67.1,73.5
1965,66.6,73
1966,67.1,73.4
1967,67,73.3
1968,67.3,73.7
1969,66.8,73.4
1970,67,73.5
1971,66.7,73.5
1972,67.5,74
1973,67.5,74.4
1974,67.9,74.4
1975,67.7,74.3
1976,68,74.8
1977,68.4,75.1
1978,68.2,75.2
1979,68.5,75.2
1980,68.9,75.3
1981,69.2,75.7
1982,69,76
1983,68.9,75.9
1984,69.1,76.4
1985,69.7,76.6
1986,70.3,77.1
1987,70.5,77.3
1988,70.9,77.8
1989,71.2,78
1990,71.5,78.1
1991,71.3,78.1
1992,70.9,78.1
1993,71.5,78.4
1994,72.2,78.8
1995,72.2,78.8
1996,72.8,79.2
1997,73.8,79.7
1998,73.5,80.3
1999,74.1,80.1
2000,74.4,80.3
2001,74.8,80.7
2002,75.3,80.5
2003,75,80.5
2004,75.7,81.2
2005,75.9,81.5
2006,76.3,81.7
2007,76.6,81.8
2008,76.9,82.1
2009,76.3,81.8
2010,76.5,81.9
2011,77,82.3
2012,77.1,82.3
2013,77.3,82.4
2014,77.7,82.6
