"""Female Life Expectancy, x; Male Life Expectancy, x""","""Female Life Expectancy, y; Male Life Expectancy, y"""
REF_YEAR,BIRTH_LIFE_EXP_F
1961,73.3
1962,73
1963,73.1
1964,73.5
1965,73
1966,73.4
1967,73.3
1968,73.7
1969,73.4
1970,73.5
1971,73.5
1972,74
1973,74.4
1974,74.4
1975,74.3
1976,74.8
1977,75.1
1978,75.2
1979,75.2
1980,75.3
1981,75.7
1982,76
1983,75.9
1984,76.4
1985,76.6
1986,77.1
1987,77.3
1988,77.8
1989,78
1990,78.1
1991,78.1
1992,78.1
1993,78.4
1994,78.8
1995,78.8
1996,79.2
1997,79.7
1998,80.3
1999,80.1
2000,80.3
2001,80.7
2002,80.5
2003,80.5
2004,81.2
2005,81.5
2006,81.7
2007,81.8
2008,82.1
2009,81.8
2010,81.9
2011,82.3
2012,82.3
2013,82.4
2014,82.6
